numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
4,lawyer_4.png,a,g,t,3,7,31,3,g,1,0.567893469,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
2,lawyer_2.png,a,g,t,4,4,36,1,g,1,0.5680459577,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
2,lawyer_2.png,a,g,t,2,5,21,1,g,1,0.5834755586,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
9,lawyer_9.png,g,a,t,0,6,6,7,a,1,0.5834982852,33,f,20,d,60.02283803,SNARC lie 1,2019_Apr_30_1445
8,lawyer_8.png,a,g,t,0,5,5,6,g,1,0.583500118,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
4,lawyer_4.png,a,g,t,3,2,26,3,g,1,0.5835268769,9,m,27,d,60.0087107,SNARC lie 1,2019_Apr_10_1212
6,lawyer_6.png,a,g,t,4,7,39,4,a,1,0.5835375071,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
1,lawyer_1.png,g,a,t,3,7,31,0,g,1,0.5835375073,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
2,lawyer_2.png,a,g,t,4,6,38,1,g,1,0.5835389735,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
6,lawyer_6.png,a,g,t,1,4,12,4,a,1,0.5835532695,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
3,lawyer_3.png,g,a,t,4,1,33,2,a,1,0.5835587677,10,f,21,d,60.01095477,SNARC lie 2,2019_Apr_10_1300
2,lawyer_2.png,a,g,t,2,1,17,1,a,1,0.5835664654,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
3,lawyer_3.png,g,a,t,3,4,28,2,g,1,0.5835737966,23,f,24,d,60.01161484,SNARC lie 1,2019_Apr_18_1730
